index,index,text
0,0,""" You shouldn ’ t accept any money from a super PAC , because people can ’ t possibly trust you . "" – Joe Biden , 2018"
1,1,Republicans know they can ’ t win on their ideas so they do everything in their power to make it harder to vote . It ’ …
2,2,"In the last few days , Trump and the Republican Party have been attacking our campaign . It looks like the most dange …"
3,3,"If you think you don ' t know enough to run for local office , trust me , I know the United States Senate . You know enough ."
4,4,It was an honor to talk to myself .
5,5,We are the strongest campaign to take on Donald Trump . But that ' s not all . We are going to transform the country . …
6,6,We need your help to make sure our campaign is successful in Nevada today . Can you jump on the phone lines and make …
7,7,"Unlike Mr . Bloomberg , I ’ m not a good friend of President Xi , the authoritarian leader of China . # DemDebate"
8,8,"Corporate greed has no place in health care . I stand with the 8 , 000 nurses and caregivers of @ SEIU1199NW in Washing …"
9,9,Today we remember the 17 students and staff killed two years ago in the horrific Parkland shooting . No family shoul …
10,10,The whole world is looking at Iowa today . They are looking to see whether the people of Iowa are prepared to stand …
11,11,"Australians can ' t "" stay safe and have fun , "" because their homes are on fire . Fossil fuel companies like …"
12,12,Our campaign is not just about defeating Trump and electing Bernie Sanders president . It ' s about creating an unprec …
13,13,The idea of a nation based on justice and dignity for all people is not a radical idea .
14,14,The fossil fuel industry ' s short - term profits are not more important than the future of our planet ! Join us live fr …
15,15,"I ' m very excited to announce our two caucus concerts , with @ boniver in Clive and @ vampireweekend ( acoustic ) in Ceda …"
16,16,The billionaire owners of Forever 21 won ' t suffer as a result of filing for bankruptcy . The thousands of workers lo …
17,17,We shouldn ' t blame millennials for their financial distress . We should blame and reverse the policies of the last …
18,18,"This campaign is doing something different . We are building a movement of working people , by working people , and fo …"
19,19,Say Bill Gates was actually taxed $ 100 billion . We could end homelessness and provide safe drinking water to ever …
20,20,"If pitchers can make $ 324 million , we can pay every teacher in this country at least $ 60 , 000 ."
21,21,"North Carolina ! You have TWO HOURS left until polls close at 7 : 30 p . m . ET . If you ’ re in line when the polls close , …"
22,22,Abortion is health care .
23,23,"I won ' t accept the fact that CEOs make 300 times their workers , while half of Americans live paycheck to paycheck . …"
24,24,Thank you to the thousands of people across the country who are fighting for the vulnerable and showing what …
25,25,Feel the bern .
26,26,When legislation came up some years ago determining whether our gay brothers and sisters could be open about their …
27,27,"It ' s simple : If the president broke the law , he should be prosecuted . # DemDebate"
28,28,I ' m honored to have the support of @ OaklandEA and @ UTRichmondCA . Together we are going to make historic investments …
29,29,Our fight now is not just Democrat versus Republican . It is democracy versus oligarchy .
30,30,"Let ’ s be honest , Joe . One of us fought for decades to cut Social Security , and one of us didn ’ t . But don ’ t take it …"
31,31,What this campaign did was put together a grassroots movement unlike anything in American politics . Thank you to al …
32,32,"How is Trump proposing to pay for his tax breaks to the top 1 % ? With cuts to Medicare , to Social Security , to educ …"
33,33,Today 45 million Americans owe some $ 1 . 6 trillion in student loan debt . If the middle class could bail out Wall St …
34,34,If you can spend billions of dollars on stock buybacks to enrich shareholders and can pay your CEO millions of doll …
35,35,. @ christine4world is a trailblazer who has been on a mission to expand the use of sustainable energy . I was proud t …
36,36,20 million people are being displaced from their homes every year due to climate - fueled disasters . 20 million . Ha …
37,37,"As President , Lula has done more than anyone to lower poverty in Brazil and to stand up for workers . I am delighted …"
38,38,. @ McDonalds give your workers paid sick leave .
39,39,"@ NBCAsianAmerica When I am president , this country ' s gun policy will be written by the American people , not the NRA …"
40,40,"Today : join our climate rally for a Green New Deal and 20 million good - paying jobs in Iowa City with @ RoKhanna , …"
41,41,I don ' t think we should live in a society where people refuse to take an ambulance because they can ' t afford it . Medicare for All now .
42,42,"A president of the United States , I will not only be commander - in - chief . I will also be the organizer - in - chief . W …"
43,43,"For President Trump , ignoring science is not enough . He wants to punish those who do believe in science . He is a th …"
44,44,"Health care facilities that provide essential care in their communities must stay open , period . I stand with the me …"
45,45,"This type of union busting is unacceptable . I say to Google : it is time to address the racism , harassment , and harm …"
46,46,"While we work to pass Medicare for All , the U . S . government must be clear that in the midst of this emergency , ever …"
47,47,Trump ' s administration works on behalf of his top donors on Wall Street and in the fossil fuel industry . I also pl …
48,48,"I would be very proud to be the first Jewish president . Together , we will counter the hatred and bigotry of the Tru …"
49,49,Are you willing to fight for a person you don ’ t know as much as you ’ re willing to fight for yourself ?
50,50,Billionaires should not be able to buy elections .
51,51,"Americans are sick and tired of corporate CEOs making hundreds of times what their workers make . Walmart : 1 , 076 to …"
52,52,"We need a government that believes in justice , not greed ."
53,53,"We have millions of people in our country who have gone bankrupt , and what did they do ? Did they take a risk on Wa …"
54,54,Two years ago the deadliest mass shooting in our modern history ended 58 lives in Las Vegas . Since then thousands …
55,55,"Yesterday I stood in solidarity with @ SEIU1984 , @ SEIU , and workers from Rockingham County Nursing Home who are figh …"
56,56,In poll after poll after poll we beat Trump . Chip in now at to keep powering this movement …
57,57,Thank you Vermont ! It is an honor to be your senator . Let ' s go forward and transform the country together .
58,58,What our campaign is about is bringing millions of young people into the political process for the first time to de …
59,59,"Tonight , join our virtual town hall on the effect of the coronavirus pandemic on undocumented immigrants . Tune in a …"
60,60,It is simply absurd that massive corporations who make billions in profits every year claim they cannot afford to g …
61,61,“ He ’ s unafraid and he ’ s unapologetic . . . I like the fact that he is willing to fight for a better America — for the …
62,62,Nuestro movimiento en Nevada y en todo el país se fortalece cada día . Únete a @ AOC para una reunión política en Las …
63,63,"For too long , New York has had one of the worst barriers to primary voter registration , which I have long sought to …"
64,64,Stephen Miller ' s white nationalist views are a danger to the American people . We are going to defeat this hateful a …
65,65,"If you are wealthy and powerful , or maybe the president , you are above the law . But if you are poor , if you ' re Blac …"
66,66,We are going to legalize marijuana on day one of my presidency . # DemDebate
67,67,"Americans deserve a government that works for all , not just the 1 % , their lobbyists and their campaign contributors …"
68,68,“ Bernie Sanders really understands that root systemic causes are the cause of the climate crisis . You have to go de …
69,69,"When you talk about the pain of working people , we are not so divided . The majority of Americans agree : We must ra …"
70,70,"Llame al : 312 - 626 - 6799 , codigo : 660829170 # para escuchar la plática en Español ."
71,71,It comes as no surprise that Donald Trump ' s racism and xenophobia knows no bounds . I look forward to continue worki …
72,72,"I am proud to be endorsed by @ WDActionFund . Together , we will fight for working people across this country and buil …"
73,73,"Unlike Trump , I don ' t think climate change is a hoax . I believe the scientists and will do everything I can to pas …"
74,74,We do not need a nominee who profits from private equity vultures and the destruction of the planet . We need someo …
75,75,""" Let ' s really get the power back in the people ' s hands . . . Bernie refers to himself as the organizer - in - chief . That ’ …"
76,76,"Along with pausing mortgage payments , evictions , and utility shutoffs , we must place a moratorium on rent payments , …"
77,77,Trump has been attacking our campaign because he ' s getting nervous . Poll after poll shows that we are the stronges …
78,78,"We must rebuild in a way that puts working people first . Join me , @ StephanieKelton , @ JeffDSachs , @ RBReich , and …"
79,79,One of the reasons I ' m running for president is for my grandchildren and kids all over the world . We ' re going to cr …
80,80,"It is unacceptable that tens of millions of Americans , despite working hard at full - time jobs , now find themselves …"
81,81,We can and we will win this primary and defeat Trump . But I cannot do it alone . If you ' ve been waiting for the ri …
82,82,@ EmgageAction Thank you @ EmgageAction !
83,83,"It ’ s an honor to have the endorsement of @ MaketheRoadAct . Together we will create a humane immigration system , stan …"
84,84,I ' m running for president because I think it ' s about time we had a government that works for the working class .
85,85,Tune in to our livestream tonight at 7 p . m . ET at I will be outlining a proposal to addres …
86,86,"Congratulations @ CoWINSpolitics for ensuring 31 , 000 state workers that care for veterans , protect our public lands , …"
87,87,There are only a few hours left until polls close in New Hampshire . Let ' s win this together . Make calls to voters r …
88,88,How much is your health insurance deductible ?
89,89,"It is an honor to receive the endorsement of @ ADAction , who have been dedicated to keeping FDR ’ s progressive ideals …"
90,90,There is power in a union . Congratulations to @ CWAUnion for this victory . This is the result of the union fighting …
91,91,Damn right we will guarantee a job for every American . # DemDebate
92,92,Everybody who knows me knows I hate asking for money . But I ' m gonna ask you for money . Tonight is the FEC deadlin …
93,93,. @ CASAinAction knows that real change never comes from the top on down but from the bottom on up . Together we will …
94,94,"Unlike Trump , I refuse to leave veterans and seniors behind . We are going to ensure the stable retirement that ever …"
95,95,We need affordable housing for all instead of more gentrifying luxury developments for the few . I stand with the lo …
96,96,The CEO of General Motors makes $ 21 million a year . GM can damn well afford to pay its workers a decent wage .
97,97,"I just formally filed my candidacy in New Hampshire . We are ready to win here , across the country and defeat the mo …"
98,98,"I find it curious that few of the "" deficit hawks ” are asking if it is fiscally prudent to be spending more on defen …"
99,99,Trump lied when he said he ’ d stand up to corporate greed and help working people . We ’ re going to do what he failed …
100,100,"Politicians in Washington are going to vote for our bold , progressive agenda because of a movement of millions of p …"
101,101,Mental health care is health care . No one should be barred from accessing it because of their income . That ' s why it …
102,102,"If we can bail out Wall Street and give tax breaks to billionaires , we can cancel all student debt in this country ."
103,103,Have you ever received a huge medical bill despite having private health insurance ?
104,104,What the establishment used to say about our ideas : Raising the minimum wage to a living wage — too radical . Guarant …
105,105,The # RedForEd movement is a fight for the future of this nation . @ CTULocal1 and @ SEIU73 in Chicago are standing up …
106,106,This coronavirus pandemic exposes the incredible weakness and dysfunctionality of our current health care system . …
107,107,Joe Biden claims in a new ad that he has always protected Social Security . That ’ s patently false . He can ’ t hide 40 …
108,108,"Scientists have told us we must take action immediately to avoid climate catastrophe . A Green New Deal is not "" rad …"
109,109,Public housing residents should not be forced to live in unhealthy and unsafe conditions . The Green New Deal for P …
110,110,"In the last few years , PG & amp ; E has : - Paid 8 executives $ 60 + million - Paid out $ 4 . 5 billion to shareholders - Wined and …"
111,111,Al Johnson did some of the most important work someone can do — to spread peace and stand with the oppressed . In hono …
112,112,My experiences growing up in a working class family shaped my values as a candidate for president . All of us have …
113,113,But how will we afford Medicare for All ?
114,114,We cannot just give corporations money to do anything they want . We have to ensure that money is going to protect w …
115,115,The ideas that I am talking to you about didn ' t come to me yesterday . They didn ' t come because I have pollsters sa …
116,116,Your $ 8 . 99 Netflix subscription is more than the company paid in federal income taxes last year ( nothing ) . We are …
117,117,""" There are more of us . We are stronger . We will wait no longer . """
118,118,"Our message to young people : If you can ' t afford to go to college or are deeply in debt , join us . If you ' re worri …"
119,119,I hope you can join me and @ AOC at our rally in New York this weekend and help us show the strength of our movement …
120,120,"Democracy doesn ’ t just mean the chance to vote . It means control over your life . To be a truly democratic society , …"
121,121,"I ’ ve been criticized for being an "" alarmist "" on climate change . You ’ re damn right I ’ m alarmed . Climate change is …"
122,122,"If you can ' t win on your ideas and need to depend on low turnout and voter suppression , get out of politics and get …"
123,123,""" I am alive today not because of insurance companies but despite them . "" Private insurance companies exist to make …"
124,124,There are very powerful special interest groups that will spend whatever it takes to try to defeat us . But togethe …
125,125,"We have just a few hours left to hit our goal of 2 million calls to voters . We can do it , but we need everyone to m …"
126,126,More lies .
127,127,"In my first week as president , we will introduce Medicare for All legislation ."
128,128,"I have no doubt that the political revolution is going to sweep this country , sweep Donald Trump out of office , and …"
129,129,"Congratulations to @ TucsonRomero , the first Latina mayor of Tucson , on her historic win last night — and to @ LUCHA_AZ …"
130,130,"I am grateful to receive the support of @ PSC_CUNY and their 30 , 000 members , who are working tirelessly for the safe …"
131,131,"I know very well where white supremacist politics leads , and what can happen when people do not speak up against it …"
132,132,"More than any other campaign , our campaign is about bringing millions of people into the political process for the …"
133,133,"This is a campaign for students . We are going to cancel ALL student debt . We are going to make public colleges , u …"
134,134,This is horrifying . @ Uber has a responsibility to do more to protect its workers and passengers than issue a report …
135,135,"This thread shows why we cannot maintain the status quo of our profit - driven health care system . Even "" good "" insur …"
136,136,"All across the country today , airline catering workers will be protesting unfair wages at @ AmericanAir , @ Delta and …"
137,137,"This is a company that just cut off health care for 49 , 000 workers and their families in retaliation for striking . …"
138,138,Are you willing to fight for someone you don ' t know ?
139,139,"I believe in the "" radical "" idea that young people should be excited about their future . That ' s why we are going to …"
140,140,"While Trump is cutting food and nutrition assistance for more than 5 million people , he ' s giving big banks a tax br …"
141,141,Unfettered capitalism created the opioid epidemic . That is why we need a political revolution to say enough is enough . # DemDebate
142,142,Private media outlets charge outrageous sums to run ads during presidential primary debates like tonight ' s — and many …
143,143,". @ RBReich is right . Despite what the political establishment wants you to think , running a campaign of , by , and for …"
144,144,Our job is not just to remember the history of Dr . King . It is to absorb his revolutionary spirit and apply it toda …
145,145,We ' re seeing a rise in anti - Semitism and hate crimes . We saw a child run over for being Latina . We ' ve seen people …
146,146,"When I was a young man I had a job pushing crates of soda onto a truck from a warehouse , and my wages were very goo …"
147,147,"Thank you to @ nejbUNITEHERE . I will continue to fight alongside you and your 10 , 000 members across the Northeast fo …"
148,148,Listen to @ DannyDeVito and help us reach our goals before the FEC deadline on Saturday so that we ' re ready to take …
149,149,"Not only are we going to beat Trump , we are going to decimate Trumpism ."
150,150,I ' m rallying with students at the University of Nevada Reno ahead of caucus day on Saturday . Find your early vote o …
151,151,Young people should not underestimate their power . If they vote as much as older people they can not only transform …
152,152,"@ NBCAsianAmerica We will guarantee tuition - and debt - free public colleges , universities , and trade schools to all , …"
153,153,We live in a world in which three billionaires own more wealth than the bottom half of our entire country . I don ' t …
154,154,Ban assault weapons .
155,155,I ’ ll be live tonight at 8 PM ET with an update on our path to victory . Our campaign is bringing millions of peple t …
156,156,Thank you @ KamalaHarris for running a spirited and issue - oriented campaign . I look forward to working with you to d …
157,157,"A lot about Donald Trump sickens me , but maybe at the top of the list is his very intentional efforts to divide us …"
158,158,"Tonight , I will be holding a virtual roundtable on the economic and health crises created by the coronavirus outbre …"
159,159,"Congratulations to the teachers of Dedham , Massachusetts , the Dedham Education Association , and @ massteacher on win …"
160,160,My time as a student at the University of Chicago protesting segregation showed me the power of grassroots organizi …
161,161,"In 1984 , Joe Biden first pushed to freeze funding for Social Security — which would end up cutting Social Security …"
162,162,"If Congress wants to go to war — and I will vote against that — but if Congress wants to go to war , let Congress ha …"
163,163,"I want to applaud @ ewarren for a strong , issue - oriented campaign . Tonight , we invite her supporters into our campai …"
164,164,The murders in Germany by a right - wing terrorist show us the tragic costs of anti - immigrant bigotry . Authoritarian …
165,165,This is an abomination . No one should be forced to use GoFundMe for health care . We are the richest country on Ea …
166,166,""" I support Bernie because there is no point in having a good Green New Deal plan if you ’ re not building the movemen …"
