index,index,text
0,0,China is threatening Washington over the currency bill . We should pass it immediately .
1,1,Check out Trump International Hotel & Tower New York - - spectacular !
2,2,"Can ’ t say I mind the fact that the great people of West Virginia are furious at their puppet Democrat Senator , Joe …"
3,3,"“ The thing about high corporate tax rates is that , in the end , companies aren ’ t the ones who foot the bill , consumers do . ” # TimeToGetTough"
4,4,Blue Ribbon Commission to find and agree to future spending cuts ? Bad idea .
5,5,"Fitch has downgraded our credit outlook to "" negative . "" Why ? @ BarackObama ' s failure to lead with the Super Committee ."
6,6,"A great book , support Charlie , BUY IT ! Already Number One ."
7,7,"KEEPING THE SCHOOL SAFE , ENCOURAGE YOUR FACULTY , STAFF , AND STUDENTS TO . . . ."
8,8,A very bad night for Mini Mike !
9,9,Pete Buttigieg is OUT . All of his SuperTuesday votes will go to Sleepy Joe Biden . Great timing . This is the REAL be …
10,10,“ She should never have been on that jury . Everything about this stinks . ” @ JudgeJeanine @ seanhannity @ FoxNews
11,11,# MarchForLife
12,12,A great coach and a fantastic guy . His endorsement of me in Indiana was a very big deal !
13,13,"America is the Greatest Country in the world . We have the best scientists , doctors , nurses and health care professi …"
14,14,Incredible numbers !
15,15,Disgraceful !
16,16,@ Amazon sold out of # TimeToGetTough in the first week . More copies have been ordered for holidays . Don ' t worry .
17,17,The original Apprentice is coming back - - do you have what it takes to be the next Apprentice ? For casting details :
18,18,The LameStream Media is the dominant force in trying to get me to keep our Country closed as long as possible in th …
19,19,ObamaCare will destroy small business - - the backbone of America ' s economy .
20,20,Don ' t forget to tune in tonight at 10 p . m . on NBC for another action packed episode of The Apprentice .
21,21,"Congratulations to Prime Minister Abe of Japan , and the IOC , on their very wise decision to present the Olympics in …"
22,22,. @ JayObernolte of California is running for Congress in 2020 . Jay will help me to continue securing the Southern Bo …
23,23,I was on CNN last night with @ ErinBurnett .
24,24,White House news conference today at 6 : 00 P . M . Eastern . Thank you !
25,25,"Be sure to watch the Celebrity Apprentice on Sunday night , 8 pm on NBC ."
26,26,. . . The CBS News poll said 13 percent of Republicans trusted the news media for information about the virus . ” Michael M . Grynbaum @ NYTimes
27,27,All those politicians in Washington and not one good negotiator .
28,28,"Simply put , he choked !"
29,29,Senate hearing on the Impeachment Hoax starts today at 1 : 00 P . M .
30,30,Should never happen to another President !
31,31,"Does anybody really believe that Roger Stone , a man whose house was raided early in the morning by 29 gun toting FB …"
32,32,"The Do Nothing Democrats were busy wasting time on the Immigration Hoax , & amp ; anything else they could do to make the …"
33,33,". . . . . So , what the hell has happened to @ FoxNews . Only I know ! Chris Wallace and others should be on Fake News CNN o …"
34,34,"We are building China ' s wealth by buying all their products , even though we make better products in America ."
